participant_id,age,gender,ethnicity,native_language,highest_education,online_tests_taken_last_3_years,motivational_message_id,concept,theory,time_spent_on_message,word_creation_skill_level,cheating_rate_practice_round,total_words_practice_round,cheating_rate_main_round,total_words_main_round,cheating_lying_rate,performance_score_excluding_cheated_words,performance_score_including_cheated_words,used_external_resources,confessed_words_count,cheating_main_round,has_page_left,total_time_page_left,has_mouse_inactivity,total_time_mouse_inactivity,valid_7_letter_words,valid_8_letter_words,usability,task_engagement,task_satisfaction,message_understanding,PME_on_honest_task_completion,PME_on_task_performance,PME_on_task_experience,autonomy_need_satisfaction,autonomy_need_frustration,competence_need_satisfaction,competence_need_frustration,relatedness_need_satisfaction,relatedness_need_frustration,overall_need_satisfaction,overall_need_frustration,performance_accomplishments,vicarious_experience,verbal_persuasion,emotional_arousal,task_specific_self_efficacy,injunctive_norms,descriptive_norms,reference_group_identification,social_sanctions,norm_perception,cognitive_discomfort,moral_disengagement,message_comprehend,message_confidence,message_attitude,message_impact,message_persistence,message_suggestion,feedback
p_1,31.0,Male,Asian / Pacific Islander,Chinese Mandarin,Doctorate degree,0.0,performance_accomplishments_2,performance_accomplishments,Self-Efficacy Theory,27.06,6,1.0,2,1.0,8,1.0,0,30,False,0,True,1,16.52,0,0.0,1.0,0.0,6.0,6.88,7.0,6.33,6.0,6.8,6.33,6.5,4.5,6.5,3.5,5.5,1.0,6.17,3.0,6.0,6.0,6.0,5.5,5.88,6.0,5.5,5.0,5.5,5.5,1.11,5.17,what is the strategy I used and how can I reflect and leverage it for the real task.,4.0,a bit stressed and also excited,"It positively influenced me, because I tried to think of the mistakes and strategies during the trail session.","Yes, I remember the mistake I made, i.e., the 4-letter word, which did not count but also wasted time.",I think the current one is informative!,"I genuinely enjoyed participating in this challenge! I wish I had another round to form more words; it was really fun, and thank you for your invitation."
p_2,26.0,Female,White or Caucasian,English,Bachelor’s degree,3.0,emotional_arousal_1,emotional_arousal,Self-Efficacy Theory,17.08,8,0.0,0,1.0,5,1.0,0,22,False,0,True,1,56.79,0,0.0,0.0,2.0,5.67,6.0,6.2,7.0,6.0,6.8,7.0,4.5,4.0,6.0,3.5,6.5,2.0,5.67,3.17,6.5,6.5,6.0,6.5,6.38,6.0,5.0,5.5,2.5,4.75,1.22,3.33,That how I felt during the challenge could fuel me to create more words during the challenge.,5.0,I felt at ease.,"In the moment, I was able to be at ease and create more words.",That I could create more words despite how I felt.,"That they are doing a good job, despite. That they can do even better.","I found dragging the letters a bit hectic. It would be amazing, easier and quicker if we could just click on the letters to arrange them instead."
p_3,29.0,Male,White or Caucasian,English,Bachelor’s degree,0.0,dissonance_arousal_3,dissonance_arousal,Cognitive Dissonance Theory,13.54,3,0.0,3,0.0,11,0.0,32,32,False,0,False,0,0.0,0,0.0,2.0,0.0,7.0,5.62,6.2,4.67,3.67,5.6,5.33,6.5,1.0,5.5,1.0,5.5,1.0,5.83,1.0,4.5,4.5,5.5,6.5,5.25,5.5,4.5,3.0,4.0,4.25,1.11,2.0,Being easy on yourself,1.0,A bit more self belief,I calmed down slightly,,"Take a breath, two minutes is longer than you think",Very enjoyable
p_4,29.0,Male,Black or African American,English,Master’s degree,20.0,reference_group_identification_2,reference_group_identification,Social Norms Theory,18.3,8,0.0,3,0.0,4,0.0,8,8,False,0,False,0,0.0,1,16.85,0.0,0.0,7.0,6.62,7.0,6.67,7.0,7.0,7.0,6.5,6.0,6.0,5.5,6.0,6.5,6.17,6.0,7.0,6.0,6.5,6.5,6.5,7.0,6.0,6.5,6.0,6.38,1.33,5.0,the game and how we can change the world,3.0,How to be a better person,It makes me work harder to solve the puzzle,The part where i have to overthink about the puzzle,I will tell them to be their best.,This is really an amazing study.
p_5,22.0,Female,White or Caucasian,English,"Some high school, no diploma",5.0,relatedness_3,relatedness,Self-Determination Theory,15.66,6,1.0,5,1.0,10,1.0,0,52,False,0,True,0,0.0,1,6.77,2.0,3.0,6.33,6.12,7.0,5.0,4.0,5.2,7.0,6.0,2.5,5.5,3.5,6.0,1.5,5.83,2.5,4.5,4.5,5.5,3.5,4.5,6.0,5.0,2.5,2.5,4.0,1.56,2.0,Imagine being surrounded by your family and people you care about.,4.0,Love towards people I care about.,I was more positive when completing the task.,Being surrounded by family.,The feeling of love and care.,"It was very fun, I would of preferred to use the keyboard to type the words out rather than dragging the letters."
p_6,33.0,Male,White or Caucasian,English,"Some college credit, no degree",1032.0,social_sanctions_1,social_sanctions,Social Norms Theory,30.65,6,0.0,2,0.2,5,1.0,4,4,False,0,True,0,0.0,1,3.28,0.0,0.0,6.33,6.0,6.8,3.33,4.67,5.4,5.33,3.5,5.0,5.5,4.5,4.0,1.5,4.33,3.67,5.5,5.0,5.5,5.0,5.25,6.0,6.5,4.5,5.5,5.62,1.89,4.5,the need to try hard and succeed,2.0,To try hard and concentrate,I concentrated really hard to get as many words as possible,None i was to busy trying to figure out words,Try your hardest and have fun,I enjoyed the word task very much it was different from other studies and would love for the opportunity for more thank you
p_7,,,,,,,autonomy_3,autonomy,Self-Determination Theory,12.2,3,0.0,2,0.0,8,0.0,14,14,False,0,False,0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p_8,26.0,Female,White or Caucasian,English,Bachelor’s degree,30.0,competence_1,competence,Self-Determination Theory,13.68,4,0.0,7,0.0,7,0.0,26,26,False,0,False,0,0.0,0,0.0,1.0,0.0,7.0,5.5,6.0,4.33,3.67,5.2,5.67,3.5,4.5,4.5,1.5,4.0,2.5,4.0,2.83,4.5,4.5,4.0,4.0,4.25,5.0,4.5,3.5,3.5,4.12,1.33,4.33,the feeling when something clicks and becomes clear to you,4.0,Motivational thoughts were nice before the task.,No specific ways but I did think of it and hoped I would get that feeling of it becoming clear.,The feeling of it 'clicking' and things becoming clear- I hoped words would suddenly fall into place for me.,"Don't give up, you will eventually work your way through it and things will click into place.",
p_9,32.0,Female,White or Caucasian,English,Bachelor’s degree,1.0,cognitive_inconsistency_3,cognitive_inconsistency,Cognitive Dissonance Theory,32.33,5,0.0,2,0.0,9,0.0,18,18,False,0,False,0,0.0,0,0.0,0.0,0.0,6.0,5.88,6.0,2.0,4.0,4.2,2.0,5.0,4.0,5.0,3.0,4.5,3.0,4.83,3.33,4.0,2.0,3.0,4.0,3.25,4.0,3.0,3.0,3.0,3.25,1.89,5.0,being invested in the project,2.0,Confused because I wasn't sure what it was trying to tell me.,It didn't influence me at all,"No, I didn't know what the message meant",to think outside the box,
p_10,36.0,Male,Asian / Pacific Islander,English,Bachelor’s degree,2.0,self_concept_1,self_concept,Cognitive Dissonance Theory,15.17,4,0.0,3,1.0,9,1.0,0,20,False,0,True,1,52.82,0,0.0,0.0,0.0,7.0,5.75,6.8,3.33,2.67,5.2,4.33,5.5,2.0,5.5,4.0,4.5,2.5,5.17,2.83,5.5,5.0,4.5,4.0,4.75,6.0,5.5,3.5,3.5,4.62,1.67,4.33,The message was about self reflection.,1.0,I felt hope,It made me focus more.,Nope I dont think so.,To focus on the task and block everything else out.,To see how the message influences us doing the task.
